Resultados RandomForestClassifier

--- Resultados con 1 hilos ---
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6823821339950372, 'recall': 0.37423312883435583, 'time': 0.17491817474365234}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6625310173697271, 'recall': 0.3006134969325153, 'time': 0.16683125495910645}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6674937965260546, 'recall': 0.4110429447852761, 'time': 0.17042255401611328}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6923076923076923, 'recall': 0.4110429447852761, 'time': 0.16367769241333008}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6947890818858561, 'recall': 0.4233128834355828, 'time': 0.2122342586517334}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6327543424317618, 'recall': 0.3496932515337423, 'time': 0.22999310493469238}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.7146401985111662, 'recall': 0.44785276073619634, 'time': 0.20942378044128418}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6947890818858561, 'recall': 0.43558282208588955, 'time': 0.21139860153198242}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6600496277915633, 'recall': 0.38650306748466257, 'time': 0.21384167671203613}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6972704714640199, 'recall': 0.4171779141104294, 'time': 0.20916962623596191}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6997518610421837, 'recall': 0.49693251533742333, 'time': 0.2053050994873047}
